City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
127,Kokstad,ZA,2021-11-04,-30.5472,29.4241,58.78,93,60,2.73,broken clouds
128,Hualmay,PE,2021-11-04,-11.0964,-77.6139,69.26,69,62,10.56,broken clouds
129,Flinders,AU,2021-11-04,-34.5833,150.8552,64.2,93,100,1.01,light rain
130,Asau,RO,2021-11-04,46.4333,26.4,52.72,63,40,5.55,scattered clouds
131,Ulaangom,MN,2021-11-04,49.9811,92.0667,10.06,42,1,4.43,clear sky
132,Iquitos,PE,2021-11-04,-3.7481,-73.2472,80.64,78,75,4.61,broken clouds
133,Tasiilaq,GL,2021-11-04,65.6145,-37.6368,30.36,84,78,7.38,broken clouds
134,Cockburn Town,TC,2021-11-04,21.4612,-71.1419,85.96,66,40,11.5,scattered clouds
135,Cidreira,BR,2021-11-04,-30.1811,-50.2056,70.65,89,42,9.37,scattered clouds
136,Villamontes,BO,2021-11-04,-21.25,-63.5,99.84,32,99,17.27,overcast clouds
137,Kenai,US,2021-11-04,60.5544,-151.2583,37.49,96,90,8.05,light rain
138,Folldal,NO,2021-11-04,62.1325,9.9968,28.38,88,78,3.13,broken clouds
139,Yellowknife,CA,2021-11-04,62.456,-114.3525,38.41,94,20,6.91,few clouds
140,Koson,UZ,2021-11-04,39.0375,65.585,37.72,22,1,16.11,clear sky
141,Tuktoyaktuk,CA,2021-11-04,69.4541,-133.0374,24.8,93,90,17.27,overcast clouds
142,Saskylakh,RU,2021-11-04,71.9167,114.0833,0.41,91,90,13.44,overcast clouds
143,Vila Velha,BR,2021-11-04,-20.3297,-40.2925,76.95,78,75,16.11,broken clouds
144,Aswan,EG,2021-11-04,24.0934,32.907,88.9,23,0,6.91,clear sky
145,San Cristobal,VE,2021-11-04,7.7669,-72.225,80.78,59,70,1.57,broken clouds
146,Serra Talhada,BR,2021-11-04,-7.9919,-38.2983,99.0,20,39,10.36,scattered clouds
147,Clyde River,CA,2021-11-04,70.4692,-68.5914,21.78,83,100,26.24,light snow
148,Cap Malheureux,MU,2021-11-04,-19.9842,57.6142,73.89,75,1,3.0,clear sky
149,Iqaluit,CA,2021-11-04,63.7506,-68.5145,19.13,79,75,4.0,light snow
150,Lungi,SL,2021-11-04,9.2212,-12.6831,80.78,79,6,2.91,moderate rain
151,Susanville,US,2021-11-04,40.4163,-120.653,55.09,57,1,12.66,clear sky
152,Miles City,US,2021-11-04,46.4083,-105.8406,49.17,57,1,12.66,clear sky
153,Blagoyevo,RU,2021-11-04,63.3667,47.9167,34.18,98,100,8.63,light rain
154,Beyneu,KZ,2021-11-04,45.3167,55.2,35.11,53,61,17.76,broken clouds
155,Pisco,PE,2021-11-04,-13.7,-76.2167,69.03,73,0,12.66,clear sky
156,Lieksa,FI,2021-11-04,63.3167,30.0167,45.18,95,100,10.83,overcast clouds
157,Karwar,IN,2021-11-04,14.8,74.1333,77.88,87,100,10.07,light rain
158,Chokurdakh,RU,2021-11-04,70.6333,147.9167,-11.11,97,91,7.16,overcast clouds
159,Sobolevo,RU,2021-11-04,54.4299,31.8996,45.1,83,99,13.31,light rain
160,Sao Joao Da Barra,BR,2021-11-04,-21.6403,-41.0511,80.69,75,77,14.25,broken clouds
161,Haines Junction,CA,2021-11-04,60.7522,-137.5108,31.42,77,97,2.46,overcast clouds
162,Katherine,AU,2021-11-04,-14.4667,132.2667,80.92,74,56,3.44,broken clouds
163,Inta,RU,2021-11-04,66.0317,60.1659,33.55,97,100,24.76,overcast clouds
164,Pacific Grove,US,2021-11-04,36.6177,-121.9166,64.62,89,90,1.01,overcast clouds
165,Hoquiam,US,2021-11-04,46.9809,-123.8893,57.52,68,90,16.11,mist
166,Puerto Ayora,EC,2021-11-04,-0.7393,-90.3518,75.16,72,67,9.84,broken clouds
167,Coihaique,CL,2021-11-04,-45.5752,-72.0662,51.75,54,90,9.22,overcast clouds
168,Sembakung,ID,2021-11-04,3.8167,117.25,73.65,99,98,1.45,overcast clouds
169,Boca Do Acre,BR,2021-11-04,-8.7522,-67.3978,95.05,39,68,3.91,broken clouds
170,Kruisfontein,ZA,2021-11-04,-34.0033,24.7314,61.88,85,34,3.69,scattered clouds
171,Burns Lake,CA,2021-11-04,54.2331,-125.7533,36.82,99,100,2.39,light rain
172,Tallahassee,US,2021-11-04,30.4383,-84.2807,71.67,73,1,1.01,clear sky
173,Ereymentau,KZ,2021-11-04,51.6199,73.1033,13.91,83,42,16.55,scattered clouds
174,Porto Novo,BJ,2021-11-04,6.4965,2.6036,84.02,80,51,7.4,broken clouds
175,Poitiers,FR,2021-11-04,46.5833,0.3333,49.78,51,20,2.3,few clouds
