City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
266,San Patricio,US,57.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
271,Maldonado,UY,72.79,overcast clouds,-34.6667,-54.9167,La Cimarrona
272,Lundazi,ZM,77.25,clear sky,-12.2929,33.1782,"Stones Hotel, Lundazi"
275,Puerto Del Rosario,ES,71.35,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
276,Guerrero Negro,MX,72.66,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
277,Isangel,VU,73.81,overcast clouds,-19.55,169.2667,Tanna Lodge
281,Tabuk,PH,70.47,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
283,Valdivia,CL,57.29,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
284,Marsh Harbour,BS,78.4,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
286,Labuhan,ID,78.13,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
287,Necochea,AR,63.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
289,Roebourne,AU,77.76,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
291,Fortuna,US,56.93,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
292,Lebu,CL,55.29,clear sky,-37.6167,-73.65,Hostal Las Lilas
293,Boyabat,TR,59.43,clear sky,41.4689,34.7667,Kolaz Palas Otel
294,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
295,Panzhihua,CN,55.8,clear sky,26.5851,101.7128,Electric Power Hotel
296,Tacoronte,ES,68.25,overcast clouds,28.4769,-16.4102,Casa Laurel
298,Onda,ES,58.87,broken clouds,39.9667,-0.25,Motel Shhh
301,Yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
304,Nouadhibou,MR,69.06,broken clouds,20.931,-17.0347,El Medina
305,Adeje,ES,72.48,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
307,Ukiah,US,62.01,light rain,39.1502,-123.2078,Hampton Inn Ukiah
310,Bengkulu,ID,75.7,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
311,Broken Arrow,US,57.72,scattered clouds,36.0526,-95.7908,"Holiday Inn Express & Suites Tulsa S Broken Arrow Hwy 51, an IHG Hotel"
313,Kahului,US,77.85,light rain,20.8947,-156.47,Maui Seaside Hotel
315,Rwamagana,RW,65.64,overcast clouds,-1.9487,30.4347,Avega East Hostel
316,Rawah,IQ,72.27,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
320,Paramonga,PE,68.9,scattered clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
324,Pervomaysk,UA,55.47,overcast clouds,48.0443,30.8507,Hotelʹ Yevrolider
325,Yatou,CN,56.71,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
327,Rawson,AR,64.09,clear sky,-43.3002,-65.1023,Hosteria Sampedro
329,Gonbad-E Qabus,IR,59.95,overcast clouds,37.25,55.1672,Samin Building
335,Ponta Delgada,PT,70.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
336,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
341,Lahaina,US,77.81,light rain,20.8783,-156.6825,Lahaina Shores Beach Resort
342,Do Gonbadan,IR,71.69,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
343,Midyat,TR,65.48,clear sky,37.4247,41.3393,Hotel Kasr-i Nehroz
345,Hede,CN,62.71,broken clouds,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
351,Ranong,TH,77.13,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
353,Gopalpur,IN,76.8,broken clouds,19.2667,84.9167,Gopalpur Palm Resort
354,Saint-Joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
355,Luganville,VU,76.53,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
359,Auki,SB,75.92,overcast clouds,-8.7676,160.7034,Auki Motel
364,Tandil,AR,67.21,overcast clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
366,Pachino,IT,69.84,broken clouds,36.7186,15.0907,Pietra Bianca B&B
375,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
376,Tezu,IN,62.42,clear sky,27.9167,96.1667,Circuit House
379,Dunmore Town,BS,78.49,broken clouds,25.5,-76.65,Coral Sands Hotel
380,Cascais,PT,60.66,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
381,Los Llanos De Aridane,ES,71.13,broken clouds,28.6585,-17.9182,Valle Aridane
382,Kathmandu,NP,55.62,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
384,Chandvad,IN,68.77,scattered clouds,20.3333,74.25,Hotel nisarg & lodging
386,Andilamena,MG,68.22,clear sky,-17.0167,48.5833,Police men home Andilamina
388,Daru,PG,78.42,scattered clouds,-9.0763,143.2092,Daru Lodge
389,Xixiang,CN,60.37,overcast clouds,35.1628,112.865,Sanmao Hotel Hotel
392,Sapele,NG,77.81,light rain,5.8941,5.6767,Movig Hotel & Suites
394,Yambio,SS,69.49,light rain,4.5721,28.3955,Naivasha Hotel
395,Vanimo,PG,76.35,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
396,Pringsewu,ID,74.08,overcast clouds,-5.3582,104.9744,Urban Style by Front One
399,Sheridan,US,71.31,broken clouds,44.8333,-106.9173,Comfort Inn & Suites
405,Tuensang,IN,57.94,broken clouds,26.2833,94.8333,B.W.D Resthouse.
407,Lamesa,US,55.08,clear sky,32.7376,-101.951,Shiloh Inn Lamesa
414,Nanakuli,US,77.11,broken clouds,21.3906,-158.1547,Camp Pālehua
415,Xiamen,CN,69.85,scattered clouds,24.4798,118.0819,Xiamen Dongchen Hotel
418,Victoria,HK,78.85,scattered clouds,22.2855,114.1577,Mini Hotel Central
425,Richards Bay,ZA,69.98,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
429,Marsaxlokk,MT,74.08,clear sky,35.8419,14.5431,Water's Edge
430,Yeppoon,AU,65.98,scattered clouds,-23.1333,150.7333,Villa Mar Colina
431,Ilinge,ZA,59.61,broken clouds,-31.9768,27.0427,Ilinge
434,Dingle,PH,75.72,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
435,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
